updated,A5,A4,A3,A2,A1,A0
28/09/2021 23:31:19,0.000,3.472,5.462,0.000,0.000,0.415
28/09/2021 23:31:14,0.000,3.484,5.474,0.000,0.000,0.391
28/09/2021 23:31:09,0.000,3.484,5.474,0.000,0.000,0.396
28/09/2021 23:31:04,0.000,3.472,5.474,0.000,0.000,0.323
28/09/2021 23:30:59,0.000,3.472,5.486,0.000,0.000,0.337
28/09/2021 23:30:54,0.000,3.472,5.486,0.000,0.000,0.381
28/09/2021 23:30:49,0.000,3.472,5.498,0.000,0.000,0.318
28/09/2021 23:30:44,0.000,3.459,5.474,0.000,0.000,0.420
28/09/2021 23:30:39,0.000,3.484,5.486,0.000,0.000,0.391
28/09/2021 23:30:34,0.000,3.484,5.450,0.000,0.000,0.415
28/09/2021 23:30:29,0.000,3.484,5.462,0.000,0.000,0.425
28/09/2021 23:30:24,0.000,3.472,5.486,0.000,0.000,0.396
28/09/2021 23:30:19,0.000,3.472,5.486,0.000,0.000,0.332
28/09/2021 23:30:14,0.000,3.447,5.486,0.000,0.000,0.386
28/09/2021 23:30:09,0.000,3.472,5.462,0.000,0.000,0.391
28/09/2021 23:30:04,0.000,3.459,5.486,0.000,0.000,0.396
28/09/2021 23:29:59,0.000,3.472,5.498,0.000,0.000,0.411
28/09/2021 23:29:54,0.000,3.472,5.498,0.000,0.000,0.425
28/09/2021 23:29:49,0.000,3.472,5.498,0.000,0.000,0.327
28/09/2021 23:29:44,0.000,3.472,5.486,0.000,0.000,0.420
28/09/2021 23:29:39,0.000,3.472,5.486,0.000,0.000,0.357
28/09/2021 23:29:34,0.000,3.484,5.474,0.000,0.000,0.332
28/09/2021 23:29:29,0.000,3.472,5.462,0.000,0.000,0.386
28/09/2021 23:29:24,0.000,3.459,5.462,0.000,0.000,0.415
28/09/2021 23:29:19,0.000,3.472,5.450,0.000,0.000,0.415
28/09/2021 23:29:14,0.000,3.472,5.462,0.000,0.000,0.430
28/09/2021 23:29:09,0.000,3.484,5.474,0.000,0.000,0.332
28/09/2021 23:29:04,0.000,3.484,5.450,0.000,0.000,0.411
28/09/2021 23:29:00,0.000,3.472,5.462,0.000,0.000,0.386
